name,url,salary,id_vacancy,employer,employer_url,requirement,responsibility
Учитель русского языка и литературы с 1 сентября 2023 года,https://spb.superjob.ru/vakansii/uchitel-russkogo-yazyka-i-literatury-s-1-sentyabrya-2023-goda-27629560.html,0,27629560,нет данных,нет данных,"Предметные знания углубленного уровня, профессиональная компетентность, владение навыками работы за компьютером","<b>Обязанности:</b><br /><br />Проведение уроков в 5-11 классах, внеклассных мероприятий по предмету, руководство исследовательской деятельностью учащихся, работа с документацией, в том числе электронной.<br /><br /><b>Требования:</b><br /><br />Предметные знания углубленного уровня, профессиональная компетентность, владение навыками работы за компьютером<br /><br /><b>Условия:</b><br /><br />Кабинет русского языка, персональный компьютер, возможность использования мультимедиатехники, отпуск 56 календарных дней, методический день"
Учитель английского языка,https://volosovo.superjob.ru/vakansii/uchitel-anglijskogo-yazyka-29027677.html,0,29027677,нет данных,нет данных,,"<b>Обязанности:</b><br /><br />Осуществляет обучение и воспитание обучающихся с учетом специфики преподаваемого предмета, проводит уроки и другие занятия в соответствии с расписанием в указанных помещениях. Составляет тематический план работы по предмету в каждой параллели классов на учебный триместр и рабочий план на каждый урок. В своей работе по предмету использует разнообразные приемы, методы и средства обучения. Реализует образовательные программы. Может переставлять по своему усмотрению темы уроков в отдельных разделах программы. Проводит с учащимися установленное учебным планом количество контрольных и практических работ, а также необходимые учебные экскурсии."
Учитель географии,https://krasnogorsk.superjob.ru/vakansii/uchitel-geografii-30174137.html,0,30174137,нет данных,нет данных,Обязательно наличие педагогического образования по соответствующему профилю.,<b>Обязанности:</b><br /><br />Преподавание географии в 5 - 11 классах.<br /><br /><b>Требования:</b><br /><br />Обязательно наличие педагогического образования по соответствующему профилю.
Учитель истории и обществознания,https://vsevolozhsk.superjob.ru/vakansii/uchitel-istorii-i-obschestvoznaniya-31958339.html,0,31958339,нет данных,нет данных,,
Учитель физики,https://spb.superjob.ru/vakansii/uchitel-fiziki-34252882.html,40000,34252882,нет данных,нет данных,"Требования:
• Высшее педагогическое образование 
• опыт работы по подготовке к ГИА",<br /><b>Требования:</b><ul><li> Высшее педагогическое образование  </li><li> опыт работы по подготовке к ГИА  </li></ul><br />
Учитель английского языка,https://spb.superjob.ru/vakansii/uchitel-anglijskogo-yazyka-35097171.html,0,35097171,нет данных,нет данных,"Обязанности:
• 
• Проведение уроков 2-9 класс 
• Заполнение электронного журнала
• Проведение уроков в соответствии с ФГОС
Начало работы: 01.09.2023


Требования:
• 
• Высшее образование.
• 1 или высшая категория.
• Справка об отсутствии судимости.
• Курсы ФГОС (не ранее 3- лет)
• Курсы 1 помошь
• Мед. книжка.
• Гражданство - РФ, регистрация - СПб
• Уверенный пользователь ПК.","<b>Обязанности:</b><ul><li><ul><li>Проведение уроков 2-9 класс </li><li>Заполнение электронного журнала</li><li>Проведение уроков в соответствии с ФГОС</li></ul><p>Начало работы: 01.09.2023</p><p><br /></p></li></ul><b>Требования:</b><ul><li><ul><li>Высшее образование.</li><li>1 или высшая категория.</li><li>Справка об отсутствии судимости.</li><li>Курсы ФГОС (не ранее 3- лет)</li><li>Курсы 1 помошь</li><li>Мед. книжка.</li><li>Гражданство - РФ, регистрация - СПб</li><li>Уверенный пользователь ПК.</li></ul></li></ul>"
Учитель биологии и химии,https://spb.superjob.ru/vakansii/uchitel-biologii-i-himii-37198264.html,50000,37198264,нет данных,нет данных,"Обязанности:
• 
• Обучение и воспитание обучающихся с учетом специфики преподаваемого предмета, проведение уроков и других занятий в соответствии с расписанием. Реализация образовательных программ в соответствии с ФГОС, с использованием разнообразных приемов, методов и средств обучения

Требования:
• 
• Высшее профессиональное образование или среднее профессиональное образование по направлениям подготовки ""Образование и педагогика"" или в области, соответствующей преподаваемому предмету с последующей профессиональной переподготовкой по профилю педагогической деятельности
• наличие категории, опыт подготовки к ГИА и классного руководства
• Владение информационными технологиями, умение пользоваться интерактивной доской
• Владение современными технологиями преподавания в соответствии с требованиями ФГОС
• Умение составлять рабочие программы на основе примерной программы или авторской программы
• Наличие курсов повышения квалификации по ФГОС
• Наличие справки об отсутствии судимости, действующей медицинской книжки.

Условия:
• 
• 
Открыта вакансия ( с 01.09.2021 г.) на должность учителя биологии и химиио новой школы с углубленным изучением английского языка, расположенной на территории жилого квартала комфорт-класса «Энфилд» (Мурино-Бугры), непосредственно примыкающей к северной границе Санкт-Петербурга в районе пересечения кольцевой автомобильной дороги и проспекта Культуры. Благодаря современным стандартам строительства и передовому подходу к планированию это будет абсолютно новое городское пространство. Школа открыла свои двери в сентябре 2020 года в официальном партнерстве с РГПУ им. Герцена и входит в состав ""Герценовского образовательного округа"". Школа является официальным членом «Ассоциации новых школ Ленинградской области».
• Работа и возможность профессионального роста в стенах большой новой, красивой школы на 950 мест с просторными классами, современным оборудованием. Бесплатные курсы повышения квалификации, методическое сопровождение. Оформление по ТК РФ, удлиненный оплачиваемый отпуск в летнее время. Зарплата зависит от стажа, квалификации, нагрузки, опыта работы. Должностной оклад + доплата за классное руководство, стимулирующие выплаты за расширение должностных обязанностей и профессиональные достижения, выплаты за участие в оказании платных дополнительных образовательных услуг.","<b>Обязанности:</b><ul><li><ul><li>Обучение и воспитание обучающихся с учетом специфики преподаваемого предмета, проведение уроков и других занятий в соответствии с расписанием. Реализация образовательных программ в соответствии с ФГОС, с использованием разнообразных приемов, методов и средств обучения<br /></li></ul></li></ul><b>Требования:</b><ul><li><ul><li>Высшее профессиональное образование или среднее профессиональное образование по направлениям подготовки ""Образование и педагогика"" или в области, соответствующей преподаваемому предмету с последующей профессиональной переподготовкой по профилю педагогической деятельности</li><li>наличие категории, опыт подготовки к ГИА и классного руководства</li><li>Владение информационными технологиями, умение пользоваться интерактивной доской</li><li>Владение современными технологиями преподавания в соответствии с требованиями ФГОС</li><li>Умение составлять рабочие программы на основе примерной программы или авторской программы</li><li>Наличие курсов повышения квалификации по ФГОС</li><li>Наличие справки об отсутствии судимости, действующей медицинской книжки.<br /></li></ul></li></ul><b>Условия:</b><ul><li><ul><li><p>Открыта вакансия ( с 01.09.2021 г.) на должность учителя биологии и химиио новой школы с углубленным изучением английского языка, расположенной на территории жилого квартала комфорт-класса «Энфилд» (Мурино-Бугры), непосредственно примыкающей к северной границе Санкт-Петербурга в районе пересечения кольцевой автомобильной дороги и проспекта Культуры. Благодаря современным стандартам строительства и передовому подходу к планированию это будет абсолютно новое городское пространство. Школа открыла свои двери в сентябре 2020 года в официальном партнерстве с РГПУ им. Герцена и входит в состав ""Герценовского образовательного округа"". Школа является официальным членом «Ассоциации новых школ Ленинградской области».</p></li><li>Работа и возможность профессионального роста в стенах большой новой, красивой школы на 950 мест с просторными классами, современным оборудованием. Бесплатные курсы повышения квалификации, методическое сопровождение. Оформление по ТК РФ, удлиненный оплачиваемый отпуск в летнее время. Зарплата зависит от стажа, квалификации, нагрузки, опыта работы. Должностной оклад + доплата за классное руководство, стимулирующие выплаты за расширение должностных обязанностей и профессиональные достижения, выплаты за участие в оказании платных дополнительных образовательных услуг.</li></ul></li></ul>"
Учитель математики / Информатики (с 1 сентября 2023 года),https://spb.superjob.ru/vakansii/uchitel-matematiki-37784202.html,0,37784202,нет данных,нет данных,"Обязанности:
• Осуществляет обучение и воспитание обучающихся с учетом специфики преподаваемого предмета, проводит уроки и другие занятия в соответствии с расписанием в указанных помещениях.
• Составляет тематический план работы по предмету в каждой параллели классов на учебную четверть и рабочий план на каждый урок.
• В своей работе по предмету использует разнообразные приемы, методы и средства обучения.
• Реализует образовательные программы.
• Может переставлять по своему усмотрению темы уроков в отдельных разделах программы.
• Проводит с учащимися установленное учебным планом количество контрольных и практических работ, а также необходимые учебные экскурсии.","<b>Обязанности:</b><ul><li>Осуществляет обучение и воспитание обучающихся с учетом специфики преподаваемого предмета, проводит уроки и другие занятия в соответствии с расписанием в указанных помещениях.</li><li>Составляет тематический план работы по предмету в каждой параллели классов на учебную четверть и рабочий план на каждый урок.</li><li>В своей работе по предмету использует разнообразные приемы, методы и средства обучения.</li><li>Реализует образовательные программы.</li><li>Может переставлять по своему усмотрению темы уроков в отдельных разделах программы.</li><li>Проводит с учащимися установленное учебным планом количество контрольных и практических работ, а также необходимые учебные экскурсии.</li></ul><br />"
Учитель русского языка,https://mytischi.superjob.ru/vakansii/uchitel-russkogo-yazyka-34659324.html,0,34659324,нет данных,нет данных,"Обязанности:
• Преподавание учебных дисциплин, организация учебной деятельности обучающихся по освоению учебных дисциплин; педагогический контроль и оценка освоения образовательной программы в процессе промежуточной и итоговой аттестации; разработка программно-методического обеспечения учебных дисциплин.","<b>Обязанности:</b><ul><li>Преподавание учебных дисциплин, организация учебной деятельности обучающихся по освоению учебных дисциплин; педагогический контроль и оценка освоения образовательной программы в процессе промежуточной и итоговой аттестации; разработка программно-методического обеспечения учебных дисциплин.</li></ul><br />"
Учитель начальных классов. Вакансия актуальна с 01.09.2023,https://spb.superjob.ru/vakansii/uchitel-nachalnyh-klassov-33782548.html,35000,33782548,нет данных,нет данных,"Обязанности:

• 
обучение и воспитание обучающихся 1-4 классов в соответствии с требованиями ФГОС;
• 
проведение уроков и внеурочных занятий с использованием разнообразных форм, приемов, методов и средств обучения;
• 
выполнение функции классного руководителя;
• 
ведение в установленном порядке учебной документации, осуществление текущего контроля успеваемости и посещаемости обучающихся на уроках;
• 
работа с электронным классным журналом; 
• 
своевременная сдача администрации отчетной документации;
• 
возможно внутренне совмещение по должности Воспитатель ГПД.
Требования:
• высшее образование или среднее профессиональное образование в рамках укрупненных групп направлений подготовки высшего образования и специальностей среднего профессионального образования ""Образование и педагогические науки"" или в области, соответствующей преподаваемому предмету, либо высшее образование или среднее профессиональное образование и дополнительное профессиональное образование по направлению деятельности в образовательной организации;
• владение ИКТ-компетентностями: общепользовательская, общепедагогическая, предметно-педагогическая;
• наличие справки об отсутствии судимости и (или) факта уголовного преследования, либо о прекращении уголовного преследования;
• наличие справки о непривлечении к административному наказанию за потребление наркотических средств или психотропных веществ без назначения врача либо новых потенциально опасных психоактивных веществ;
• психиатрическое освидетельствование;

• знание АИС ""Параграф"";
• наличие квалификационной категории и курсов повышения квалификации - будут Вашим преимуществом.

Условия:
• режим работы согласно расписанию учебных занятий;
• отпуск 56 календарных дней в летний период;
• официальное оформление согласно трудовому законодательству РФ;
• социальные льготы и гарантии в соответствии с законодательством РФ;
• шестидневная рабочая неделя с 1 методическим днем- суббота.","<p><b>Обязанности</b>:<br /></p><ul><li><p>обучение и воспитание обучающихся 1-4 классов в соответствии с требованиями ФГОС;</p></li><li><p>проведение уроков и внеурочных занятий с использованием разнообразных форм, приемов, методов и средств обучения;</p></li><li><p>выполнение функции классного руководителя;</p></li><li><p>ведение в установленном порядке учебной документации, осуществление текущего контроля успеваемости и посещаемости обучающихся на уроках;</p></li><li><p>работа с электронным классным журналом; </p></li><li><p>своевременная сдача администрации отчетной документации;</p></li><li><p>возможно внутренне совмещение по должности Воспитатель ГПД.</p></li></ul><b>Требования:</b><ul><li>высшее образование или среднее профессиональное образование в рамках укрупненных групп направлений подготовки высшего образования и специальностей среднего профессионального образования ""Образование и педагогические науки"" или в области, соответствующей преподаваемому предмету, либо высшее образование или среднее профессиональное образование и дополнительное профессиональное образование по направлению деятельности в образовательной организации;</li><li>владение ИКТ-компетентностями: общепользовательская, общепедагогическая, предметно-педагогическая;</li><li>наличие справки об отсутствии судимости и (или) факта уголовного преследования, либо о прекращении уголовного преследования;</li><li>наличие справки о непривлечении к административному наказанию за потребление наркотических средств или психотропных веществ без назначения врача либо новых потенциально опасных психоактивных веществ;</li><li>психиатрическое освидетельствование;<br /></li><li>знание АИС ""Параграф"";</li><li>наличие квалификационной категории и курсов повышения квалификации - будут Вашим преимуществом.<br /></li></ul><p><b>Условия:</b></p><ul><li>режим работы согласно расписанию учебных занятий;</li><li>отпуск 56 календарных дней в летний период;</li><li>официальное оформление согласно трудовому законодательству РФ;</li><li>социальные льготы и гарантии в соответствии с законодательством РФ;</li><li>шестидневная рабочая неделя с 1 методическим днем- суббота.</li></ul>"
